Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10
"(604, 0.1197284960969631)","(614, 0.12211397605652154)","(319, 0.11711044399565343)","(292, 0.11948872594365567)","(330, 0.06939798394213241)","(442, 0.05909401025426567)","(571, 0.1076373726516407)","(187, 0.11500981291689626)","(303, 0.1120873795276013)","(147, 0.0998905074046933)"
"(423, 0.11971222599942091)","(308, 0.12206405517460273)","(629, 0.11681800424195195)","(308, 0.11946827753817017)","(290, 0.06873220283963628)","(655, 0.0590502589730574)","(219, 0.10760002864325632)","(611, 0.11485832298519284)","(607, 0.11201003458999825)","(666, 0.09988104312135808)"
"(251, 0.11927541162612705)","(251, 0.12201067366809436)","(679, 0.11681715249806898)","(594, 0.11912156611625693)","(58, 0.06872282259992424)","(535, 0.05904758451939592)","(139, 0.10755429377851763)","(477, 0.11481371473444331)","(123, 0.11186126558823546)","(14, 0.0992884354491339)"
"(443, 0.11913155184733812)","(125, 0.12195490448957898)","(237, 0.11662528511151105)","(642, 0.11891983742559731)","(180, 0.06869969859804297)","(496, 0.05903671179206884)","(579, 0.10738596780486574)","(413, 0.114772281856102)","(81, 0.11174210809403)","(132, 0.09857401489452844)"
"(278, 0.1191185021999301)","(635, 0.12171688946670733)","(222, 0.11633032235916238)","(114, 0.11857084419234631)","(149, 0.06865330023500438)","(660, 0.058945680836773325)","(466, 0.10733986459974204)","(234, 0.11474470924553136)","(385, 0.11170982167020237)","(30, 0.09842356625927198)"
"(547, 0.1189653866427417)","(227, 0.12163833710520848)","(12, 0.11620028629279082)","(496, 0.11853240041963813)","(229, 0.06777565603670473)","(648, 0.05891403899615181)","(135, 0.10733440624946841)","(612, 0.11473679189573596)","(634, 0.11156707927713516)","(129, 0.09835031077629705)"
"(563, 0.11893510210577057)","(416, 0.12137129906807116)","(606, 0.1159975576031142)","(421, 0.11845989174562337)","(167, 0.06762644541819757)","(180, 0.05890897147549438)","(117, 0.10727603486303304)","(467, 0.11468013413687698)","(89, 0.11148314310333694)","(90, 0.09817105122769805)"
"(5, 0.11888402826005873)","(299, 0.1212145641401154)","(146, 0.11596632150538531)","(176, 0.118443461150774)","(3, 0.0676144619352663)","(384, 0.05886701316610593)","(144, 0.10720921148141122)","(151, 0.11448822460397555)","(79, 0.1113898015913564)","(144, 0.09810810602397065)"
"(459, 0.11882290407167867)","(547, 0.12111832122447652)","(479, 0.11594861949433867)","(586, 0.11826147209710162)","(421, 0.06757274280921188)","(279, 0.05871044280570893)","(635, 0.10703284196789999)","(124, 0.11448512366290255)","(76, 0.11129847292156933)","(21, 0.09799022449446536)"
"(446, 0.11860606408470825)","(613, 0.12109742714258145)","(134, 0.11589308967705393)","(128, 0.11783909913857353)","(37, 0.06747872301558076)","(681, 0.0586435602471335)","(33, 0.10676098826064893)","(639, 0.1143767305120469)","(13, 0.11114637967022412)","(247, 0.09795745338966105)"
"(645, 0.11841728284584392)","(184, 0.12106941600006171)","(193, 0.11571593965481475)","(641, 0.11745807640316787)","(618, 0.06745681543628745)","(548, 0.05862850814975095)","(66, 0.10665262656983587)","(308, 0.11427866477559008)","(645, 0.11077236796060866)","(141, 0.09792175186046248)"
"(490, 0.11831437713569307)","(539, 0.12104689885704593)","(123, 0.11563788165292671)","(593, 0.11739132961496583)","(643, 0.06731061009088253)","(536, 0.058621046535427525)","(43, 0.10651075764644892)","(616, 0.11426969463540064)","(317, 0.11046720539043824)","(391, 0.0972343914907205)"
"(63, 0.11829636387211849)","(569, 0.12091047752043506)","(79, 0.11562670600536876)","(492, 0.11733147917743449)","(126, 0.06708660499083112)","(587, 0.05861896298999347)","(96, 0.10627730290121062)","(129, 0.11421005229425968)","(447, 0.11046521581227797)","(676, 0.09723261895608798)"
"(53, 0.11818830122809956)","(608, 0.12086979268518366)","(81, 0.11546807390201197)","(675, 0.11721084256711249)","(72, 0.06666426118977464)","(666, 0.05854741264927134)","(465, 0.1062395778094154)","(655, 0.1141771516830974)","(606, 0.11040582647070947)","(406, 0.09718659082650119)"
"(661, 0.11816821405345422)","(209, 0.12086055764917489)","(76, 0.11539119874660254)","(112, 0.11703005565776198)","(398, 0.06661547300870022)","(178, 0.058530876825376985)","(444, 0.10610023437768958)","(209, 0.11411663834276763)","(651, 0.11028295503381635)","(511, 0.09662519644926237)"
"(36, 0.1181507421431173)","(679, 0.12077647527805262)","(610, 0.11525603658301105)","(604, 0.11695693457409188)","(447, 0.06631504768751927)","(383, 0.058498349413216945)","(132, 0.10606018051581347)","(679, 0.11404319821216302)","(464, 0.11026865079531627)","(88, 0.0964851578224435)"
"(107, 0.11787074631072676)","(597, 0.12072897305877868)","(77, 0.1151159023643105)","(107, 0.1168439895332723)","(33, 0.06627565580896286)","(407, 0.058360860435678355)","(308, 0.10597900648092642)","(412, 0.11403202558370718)","(193, 0.11009312840921855)","(477, 0.09646223291752112)"
"(43, 0.11775325758527302)","(415, 0.12048442156962576)","(572, 0.11506288514918911)","(209, 0.11681969683832394)","(661, 0.06609731078996064)","(195, 0.05834189099066871)","(73, 0.10596046466122869)","(317, 0.1139672061344811)","(312, 0.10990729768931592)","(652, 0.09640191344300808)"
"(639, 0.11732304396447235)","(290, 0.12023983451732106)","(428, 0.11505475184306209)","(539, 0.11680594912768255)","(186, 0.06607442096044637)","(177, 0.058212659653257615)","(462, 0.10592267077706893)","(617, 0.11384210063225625)","(646, 0.10982831941535211)","(72, 0.0961620626317569)"
"(187, 0.11726050748792168)","(580, 0.12008857055968954)","(524, 0.11488634896045795)","(426, 0.11663026203493558)","(309, 0.06605071591826607)","(69, 0.05817786860077789)","(603, 0.1056767765030455)","(416, 0.11311642511003793)","(215, 0.10971941398935393)","(243, 0.09596892957737761)"
"(77, 0.1171738822653028)","(470, 0.11995782495527167)","(46, 0.11488416767195672)","(179, 0.11648568381406786)","(242, 0.0659936427345973)","(55, 0.05815002775422892)","(416, 0.1055882568019792)","(533, 0.1129802489873775)","(423, 0.10963053522056973)","(163, 0.09585467401072736)"
"(85, 0.11699681166814432)","(392, 0.11986640257686842)","(120, 0.11442698326621156)","(54, 0.11628278514966067)","(626, 0.0657926158759985)","(160, 0.058062905350169884)","(442, 0.10554646234089143)","(402, 0.11289227357577535)","(589, 0.10959580848321225)","(325, 0.09515893428621612)"
"(76, 0.11692698390351884)","(161, 0.11960177555871726)","(607, 0.11436889354701227)","(540, 0.11618426672931385)","(580, 0.06574780548156256)","(505, 0.05796544778313826)","(639, 0.10521923870013479)","(229, 0.11285853293584931)","(647, 0.10945988110865816)","(467, 0.09496465190945251)"
"(70, 0.11685986978029728)","(447, 0.11951189530893985)","(634, 0.11421663576148994)","(230, 0.1161720914602653)","(667, 0.06573141157792092)","(597, 0.057963746127383683)","(676, 0.10516361716512192)","(400, 0.11273430510184655)","(310, 0.10937464461887011)","(413, 0.0948632922861697)"
"(641, 0.11680854997914787)","(627, 0.11947245357731703)","(447, 0.1140422129349036)","(541, 0.1160882212610325)","(219, 0.06552502808928709)","(466, 0.05796090822368839)","(441, 0.10510491777224985)","(130, 0.11250248710340571)","(221, 0.10930196486564799)","(148, 0.09449191818173941)"
"(138, 0.11669772654718051)","(71, 0.11945138561518415)","(667, 0.11400254690134903)","(57, 0.11605007297430162)","(133, 0.06550077479477741)","(485, 0.05792560751925006)","(111, 0.1050949578904542)","(385, 0.1123905941320001)","(574, 0.10907660167548551)","(77, 0.09442497139424152)"
"(667, 0.11667107351949088)","(174, 0.11944586983494741)","(167, 0.11373190416599978)","(307, 0.11584841815123363)","(328, 0.06549050561946637)","(131, 0.05783718729249617)","(619, 0.10503263657562649)","(107, 0.11237539439865647)","(33, 0.10900787979941828)","(81, 0.09431572153448807)"
"(656, 0.11659300464118671)","(231, 0.11937641029647508)","(511, 0.11366278777038687)","(35, 0.1158078537986725)","(273, 0.06546934315820707)","(301, 0.05764503956505967)","(28, 0.10491926266938026)","(415, 0.11234148286404447)","(65, 0.10880049900592086)","(301, 0.09425572551888801)"
"(662, 0.11629159415290072)","(618, 0.11928898730454188)","(89, 0.11358917354257983)","(222, 0.11561353817142479)","(600, 0.06536889026694302)","(488, 0.05754879893922984)","(415, 0.10485364334217387)","(555, 0.1122780893938462)","(638, 0.10878225505107321)","(392, 0.09417279075761717)"
"(298, 0.11622588235851121)","(628, 0.11925562533772915)","(633, 0.11346630688467726)","(231, 0.11561003957858362)","(128, 0.06527419048704665)","(441, 0.05746834385181113)","(681, 0.104781886946827)","(394, 0.1122100660771946)","(649, 0.10874413061404273)","(101, 0.09414856619372274)"
"(273, 0.11622224843336097)","(79, 0.11924151240567525)","(440, 0.11345281825257818)","(542, 0.11553754701574301)","(654, 0.06527035637422611)","(638, 0.057447015834519846)","(63, 0.10475379536055905)","(251, 0.1122040405935992)","(149, 0.1085327411821705)","(130, 0.0940524818129294)"
"(109, 0.1160919164548401)","(646, 0.1192078534469079)","(646, 0.11340162270528897)","(4, 0.11540036296678945)","(505, 0.06521960186710615)","(73, 0.05741327659898029)","(60, 0.10475285023923649)","(603, 0.1120157268250497)","(131, 0.10832314005020358)","(532, 0.0940025262645943)"
"(16, 0.11603797746759364)","(548, 0.11904653951281147)","(178, 0.11320265905677766)","(459, 0.11528053554142921)","(277, 0.06506156152078531)","(510, 0.05739559483551211)","(468, 0.10471695617390978)","(319, 0.11192855811231044)","(478, 0.10819330292894803)","(237, 0.09398788749204114)"
"(153, 0.11567791969534778)","(230, 0.11903198848645549)","(412, 0.11316035722539976)","(580, 0.11522447393582402)","(60, 0.0649804603296686)","(533, 0.057365555053229926)","(29, 0.10456277286077628)","(630, 0.11192519910099638)","(633, 0.10776976098483873)","(444, 0.0939333398690517)"
"(100, 0.1155382033632572)","(252, 0.11848740237752926)","(166, 0.11298898476979488)","(64, 0.11511672520749462)","(639, 0.06468780798917351)","(128, 0.05736465073773786)","(600, 0.10439875413541223)","(111, 0.11178047578372395)","(7, 0.10774626519676027)","(425, 0.09379474314712882)"
"(655, 0.11533688215059924)","(647, 0.11816282975473678)","(647, 0.11295653630755022)","(324, 0.11511143067635156)","(42, 0.06458160026577635)","(394, 0.057248814242332885)","(678, 0.10432250576931071)","(493, 0.1111745291050594)","(532, 0.10771375215221231)","(597, 0.09341559515210252)"
"(111, 0.1152952215799176)","(446, 0.11795431954982234)","(44, 0.11277864556761617)","(576, 0.11460715733229798)","(312, 0.06416056620832324)","(468, 0.057222599047635866)","(330, 0.10395531782860763)","(252, 0.1110797869824174)","(511, 0.10770388535826081)","(438, 0.09318493471172495)"
"(10, 0.11521951715585377)","(423, 0.11794316419544956)","(439, 0.11270384278785979)","(148, 0.11455859120347471)","(174, 0.06401804111248591)","(150, 0.057216227436353725)","(550, 0.10392193701399374)","(30, 0.11043198738611952)","(129, 0.10769774993042268)","(427, 0.0931014975974491)"
"(3, 0.11521817393227382)","(164, 0.11786380046801329)","(149, 0.11267193434942226)","(574, 0.11452504783650547)","(209, 0.06391371336498104)","(544, 0.057178323473158134)","(122, 0.10383902500695479)","(629, 0.11011759717580216)","(139, 0.10755429208984767)","(297, 0.09307689887229034)"
"(149, 0.11486348545605486)","(182, 0.11776565802011855)","(75, 0.11257995678493604)","(12, 0.11446443164613124)","(234, 0.06362665632907019)","(154, 0.057110713459374636)","(469, 0.10381107422683424)","(641, 0.10996909041831772)","(135, 0.10733440356961088)","(313, 0.0930714851557158)"
"(209, 0.11476858447763089)","(410, 0.11774202617152289)","(153, 0.11253480328237858)","(649, 0.11410829666006718)","(560, 0.0636070855749327)","(607, 0.05705990935861923)","(154, 0.10371586823454565)","(42, 0.10996359583595015)","(117, 0.10727603376671017)","(390, 0.09304852075449717)"
"(252, 0.11446791949429949)","(319, 0.11763976968366555)","(463, 0.1124741697977963)","(386, 0.11409598208639365)","(310, 0.06357286887360153)","(5, 0.05701362092336424)","(301, 0.10370094997470791)","(101, 0.1099172369365837)","(180, 0.10710960881385168)","(398, 0.09286607026032134)"
"(571, 0.11446727632476877)","(541, 0.11761075800776793)","(117, 0.11234193225232472)","(520, 0.11403445128761236)","(424, 0.06346440232540573)","(584, 0.05700122118837735)","(24, 0.10362292525399884)","(123, 0.10976786888531254)","(626, 0.10704598265659801)","(139, 0.09273612889666728)"
"(614, 0.1142690000570841)","(244, 0.11756124750482848)","(69, 0.11219854176967058)","(65, 0.11383044633913295)","(572, 0.06338218685852162)","(387, 0.05697829324983663)","(511, 0.10358563003375722)","(670, 0.10966291408305866)","(665, 0.1070365434303081)","(49, 0.09259832490168918)"
"(2, 0.11420134204525129)","(306, 0.11738000150909225)","(564, 0.11187007995374489)","(611, 0.11379909679456846)","(653, 0.06332292460069108)","(538, 0.05696630343353083)","(643, 0.10347839006241195)","(422, 0.1094303968861999)","(394, 0.1064007924394878)","(123, 0.09250215418669067)"
"(274, 0.11411417254250718)","(54, 0.11731732346476031)","(132, 0.11181643367863196)","(319, 0.11370932131526215)","(601, 0.06330902572782225)","(107, 0.05693972533867892)","(596, 0.10345112927575308)","(680, 0.10928447706994993)","(96, 0.1062773011324024)","(469, 0.09230043681478765)"
"(144, 0.11407884896474767)","(540, 0.11730319623502912)","(465, 0.1115407516980326)","(479, 0.11348022485357417)","(8, 0.06328482037601524)","(458, 0.05676930271997321)","(394, 0.10334364374473036)","(580, 0.10855286397890855)","(444, 0.10610023259392583)","(83, 0.0922528296451728)"
"(180, 0.11407020695238373)","(648, 0.1172482500523755)","(144, 0.11135559136017503)","(679, 0.11337016551777812)","(190, 0.06325960798793558)","(444, 0.05667151398056273)","(663, 0.10332539820441294)","(517, 0.1084089904123137)","(132, 0.10606017903620907)","(327, 0.09217620406774063)"
"(580, 0.11403357487757006)","(58, 0.11717413817244163)","(665, 0.11133270728105378)","(85, 0.11334337443646048)","(494, 0.06306933525826178)","(388, 0.056659108582534895)","(458, 0.10295920326368771)","(59, 0.10837855712194684)","(73, 0.10596046277133159)","(16, 0.09215295927565395)"
"(123, 0.11394839436485873)","(543, 0.11715979388300149)","(180, 0.11122282324137667)","(306, 0.11334271541896583)","(608, 0.06304265123754528)","(540, 0.05665842096662436)","(307, 0.10291830435410924)","(594, 0.10831283252871036)","(603, 0.10567677439448328)","(468, 0.09193109263386431)"
"(509, 0.11379075919141002)","(560, 0.11708634958609736)","(444, 0.11121708053671805)","(146, 0.11325959266086012)","(182, 0.062979438163359)","(541, 0.05664622983470509)","(556, 0.10266442168931561)","(278, 0.10815427613813643)","(416, 0.10558825680531228)","(244, 0.09187231082397634)"
"(537, 0.11357710090463238)","(542, 0.11691316758699823)","(635, 0.11106173971742686)","(385, 0.11308802054992241)","(71, 0.06264745695695448)","(54, 0.05658086497945975)","(657, 0.10266017442217851)","(634, 0.10805200891603141)","(182, 0.10556276732919238)","(8, 0.09156589259750146)"
"(38, 0.11346505595586479)","(460, 0.11673216428600261)","(273, 0.1108040647682185)","(46, 0.11296972290409703)","(635, 0.06263468837845466)","(543, 0.05648824505814894)","(140, 0.10259998010078707)","(421, 0.10799490231679984)","(596, 0.10522445865622669)","(279, 0.09151412913799459)"
"(320, 0.11331937291200823)","(167, 0.11666884746235856)","(619, 0.11045019298351126)","(237, 0.1127831190335965)","(579, 0.06206645608594414)","(539, 0.05648646681245925)","(309, 0.10241530129365395)","(188, 0.10782759013216839)","(639, 0.10521923726217815)","(186, 0.09148800375002364)"
"(613, 0.11330472702987222)","(573, 0.11663131210635544)","(531, 0.11043388203848846)","(208, 0.11272914922716584)","(584, 0.062064268591475985)","(542, 0.056465187538095346)","(161, 0.10218189530427844)","(242, 0.1078081722644083)","(676, 0.10516361568000161)","(277, 0.09139665678076389)"
"(188, 0.11324772909825952)","(29, 0.1165922157823939)","(448, 0.1104004932701329)","(115, 0.11247630101626821)","(308, 0.062050680718398574)","(478, 0.05646079640981674)","(16, 0.10210156495709262)","(584, 0.10731077028015376)","(111, 0.10509495651330428)","(37, 0.09125675649819723)"
"(495, 0.1131953587630095)","(463, 0.11654732199343375)","(122, 0.11031223464807097)","(162, 0.11226930535336942)","(202, 0.061982635655812905)","(673, 0.056335418792152474)","(401, 0.10202306394425906)","(4, 0.10724479480197757)","(435, 0.10508678036974861)","(479, 0.09104926519057441)"
"(635, 0.11318411931520977)","(157, 0.11645429714635845)","(530, 0.11007442687008924)","(123, 0.11186128295214971)","(89, 0.06190427705320562)","(447, 0.05632549853639008)","(467, 0.10201849664924907)","(35, 0.10663301948394487)","(619, 0.10503263434915805)","(39, 0.09086294004697577)"
"(539, 0.11312368945398578)","(298, 0.11630981034665017)","(135, 0.1100091649164364)","(446, 0.11178006238623077)","(422, 0.06190141843211531)","(629, 0.05627833739696549)","(551, 0.10196420669207358)","(10, 0.10658229618288034)","(59, 0.10489724078685066)","(24, 0.09085558867216754)"
"(177, 0.11306811881876157)","(115, 0.11585003424629516)","(639, 0.10981572648477314)","(89, 0.11148315205776711)","(306, 0.06189877475021066)","(562, 0.05627166794208356)","(45, 0.1019639721951866)","(79, 0.10650562827301938)","(415, 0.10485364333317675)","(80, 0.0905275446051203)"
"(13, 0.11301375670935124)","(412, 0.11573443804118402)","(111, 0.10948237513251374)","(79, 0.11138983181653506)","(261, 0.06183163042530458)","(545, 0.056149338185473435)","(456, 0.1015497683570717)","(608, 0.10645273192008911)","(160, 0.10480426155868627)","(443, 0.09048560666117676)"
"(670, 0.11281764130653242)","(400, 0.11562492258032828)","(63, 0.10947284752566307)","(575, 0.11126155574420432)","(650, 0.06179218044368451)","(546, 0.056128227806069776)","(124, 0.1015283808092412)","(593, 0.10636516048351147)","(681, 0.10478188181421144)","(656, 0.09035208179745145)"
"(597, 0.11263985061762)","(81, 0.11509317743129824)","(394, 0.1091912168016266)","(134, 0.11120821353908393)","(70, 0.061536421313925005)","(601, 0.056086004476043075)","(406, 0.10120403666302485)","(447, 0.10630424333524623)","(477, 0.10477592506984344)","(178, 0.09027678093227687)"
"(125, 0.11242052332705145)","(545, 0.11506781533897185)","(154, 0.10908661836006375)","(447, 0.1104652361373279)","(196, 0.06131295216307144)","(665, 0.05606280392389016)","(656, 0.10109172222096631)","(231, 0.10621505786515566)","(12, 0.10477124201116653)","(414, 0.09027290631809791)"
"(227, 0.11221757846020967)","(4, 0.11498701669306083)","(603, 0.10905585970129064)","(625, 0.11045460751451852)","(459, 0.06121652699027882)","(123, 0.05602885792429351)","(50, 0.10094250050579094)","(237, 0.10617817024329547)","(60, 0.10475284841187711)","(182, 0.08994383550710644)"
"(496, 0.11189352337827252)","(39, 0.11492647130492736)","(212, 0.10904643392092671)","(167, 0.11042586987351546)","(562, 0.06112604314573606)","(511, 0.055959859863837044)","(660, 0.1009376983276751)","(73, 0.10617751994937505)","(600, 0.10439875229535214)","(154, 0.08975849182122222)"
"(325, 0.11189214359765509)","(645, 0.11491584785823435)","(391, 0.1089706849582767)","(428, 0.11032772710378226)","(16, 0.06066167935804723)","(578, 0.05577563130409157)","(397, 0.10093059083806503)","(43, 0.1061507256434172)","(571, 0.1042287561282053)","(655, 0.08945866467920825)"
"(679, 0.11184182983295578)","(667, 0.11483292846216284)","(73, 0.10888762943157332)","(68, 0.11019742323139502)","(324, 0.06062996360568427)","(663, 0.05571826514763227)","(126, 0.1009158984583085)","(545, 0.10599689411236753)","(550, 0.10392193434372698)","(111, 0.08942890242086352)"
"(161, 0.11137059582494424)","(680, 0.11480455227374067)","(198, 0.1087885897698877)","(193, 0.1100931571202837)","(188, 0.060547906089916004)","(634, 0.05569373571149821)","(673, 0.10087098637351516)","(312, 0.1059775866054901)","(186, 0.10386373616743089)","(442, 0.08921249858232728)"
"(618, 0.11132620298242436)","(546, 0.1147529477834256)","(571, 0.10862650556246119)","(524, 0.11004591881607034)","(642, 0.06052875259021521)","(414, 0.055633142071238234)","(552, 0.10084544508116305)","(423, 0.10589489301792251)","(122, 0.10383902208558936)","(157, 0.08909240251092326)"
"(58, 0.11126777645410713)","(199, 0.11466393103356916)","(96, 0.10854006244390092)","(120, 0.10994792771727474)","(616, 0.0603272258458413)","(135, 0.05562937962100331)","(104, 0.10053694648838843)","(100, 0.10583270806043568)","(217, 0.10365778742798784)","(268, 0.08897977584750072)"
"(608, 0.11118111305102887)","(443, 0.11450716763554471)","(442, 0.10836643838334185)","(58, 0.10974500400236294)","(617, 0.06017933508922293)","(574, 0.055628440270443606)","(587, 0.10045353304046525)","(569, 0.105707993565538)","(24, 0.10362292523146255)","(2, 0.08893207950793187)"
"(184, 0.11076200855256858)","(584, 0.11442867358485248)","(60, 0.10813259487191446)","(201, 0.10971999337606086)","(295, 0.060091394019688917)","(653, 0.055532963485028425)","(655, 0.1003324794038478)","(58, 0.10556214875366694)","(328, 0.103575433084544)","(161, 0.08882816023470141)"
"(447, 0.11065176691242874)","(295, 0.11381945110083946)","(563, 0.1080853557920105)","(166, 0.10961672682324819)","(392, 0.06006987539907772)","(614, 0.055442788260319266)","(599, 0.10024408615332883)","(546, 0.10552831669876181)","(212, 0.10333898593380886)","(234, 0.08875059312189593)"
"(561, 0.1105399132590693)","(603, 0.11378249776930839)","(556, 0.10787684244443749)","(412, 0.10958012221127106)","(244, 0.05994741434783772)","(270, 0.05543012117966231)","(195, 0.10017017159461454)","(230, 0.10544646638409197)","(425, 0.1031909240903251)","(653, 0.08863470719601399)"
"(646, 0.11047816700167121)","(661, 0.11347728793625256)","(676, 0.10777077097214417)","(44, 0.10912691000644303)","(197, 0.05976868997981641)","(252, 0.05540765636011894)","(661, 0.10012943012932016)","(310, 0.10534290652371615)","(220, 0.10273444293472246)","(173, 0.08835795015641346)"
"(562, 0.1103309872579943)","(656, 0.11344179040529183)","(600, 0.10776243110404432)","(463, 0.10908848699000619)","(585, 0.05958032521268041)","(620, 0.055397649235608186)","(422, 0.10011913540891128)","(146, 0.10507730896473656)","(657, 0.10266017263662036)","(209, 0.08833661158190885)"
"(555, 0.11028987021540713)","(60, 0.11338693481305252)","(551, 0.10771544605877788)","(596, 0.10906444333860736)","(192, 0.05936517908812265)","(77, 0.0553925870567964)","(244, 0.10006518286155781)","(127, 0.1049805740296607)","(672, 0.10247815995408309)","(100, 0.08832047907272679)"
"(479, 0.11015196098180922)","(43, 0.11325732996994943)","(400, 0.10770786849688845)","(511, 0.10904427890562986)","(317, 0.05881222457518087)","(247, 0.05535867237242911)","(390, 0.09979211756529528)","(464, 0.10479916912973539)","(161, 0.10218189501671279)","(166, 0.08830801214944768)"
"(627, 0.11002207903099821)","(630, 0.1131461538877602)","(568, 0.10766276368004783)","(439, 0.10902695600805534)","(108, 0.05854342054789243)","(662, 0.055341611481267594)","(644, 0.0997898761300402)","(596, 0.10473337849172522)","(401, 0.1020230624342193)","(680, 0.08819551819497903)"
"(628, 0.1097905040501873)","(600, 0.1129582414419275)","(182, 0.10756597293925864)","(273, 0.1089165159342774)","(35, 0.05850167837696671)","(76, 0.05526534555097112)","(653, 0.09949522962917766)","(81, 0.10458412727059985)","(124, 0.10152837955161627)","(180, 0.08791968339629865)"
"(663, 0.109751579338175)","(537, 0.11286380696133261)","(517, 0.10737861380520282)","(178, 0.10865638907954393)","(676, 0.058418961346189235)","(613, 0.055190078787714515)","(443, 0.0993484920014637)","(389, 0.10448348028153688)","(471, 0.10135082311371549)","(388, 0.0877120505864906)"
"(541, 0.10966272189013876)","(146, 0.11277631070804013)","(55, 0.10737521617711095)","(149, 0.10853276369093354)","(443, 0.058195050397228956)","(204, 0.05516697208809409)","(150, 0.09931412499686429)","(573, 0.1043347379019796)","(406, 0.10120403481521976)","(125, 0.08765647963024292)"
"(229, 0.10957699669433596)","(642, 0.1123259327379868)","(312, 0.10714456429426882)","(153, 0.10835685436438892)","(594, 0.05784605624965908)","(228, 0.05511399642731252)","(110, 0.09903824607296902)","(568, 0.10408796093276741)","(656, 0.10109172064176553)","(112, 0.08765022681333541)"
"(544, 0.10953001357255636)","(655, 0.11211065905956061)","(323, 0.10709343404551326)","(59, 0.10801296500036463)","(227, 0.057433698827288805)","(649, 0.05509519063417818)","(622, 0.09886881711368208)","(186, 0.10397064634321446)","(49, 0.10107868811371826)","(387, 0.0873447513592374)"
"(560, 0.10950998669961663)","(459, 0.11204451301256502)","(461, 0.10707451156578437)","(448, 0.1076762297997891)","(393, 0.057132110791192584)","(251, 0.055074524607600414)","(597, 0.09885464084593157)","(575, 0.10381169569333681)","(50, 0.10094250051914998)","(664, 0.087324761134502)"
"(71, 0.10948051937637054)","(49, 0.11197934720070987)","(681, 0.10700740988957946)","(135, 0.10733442043985797)","(634, 0.05690549844307504)","(65, 0.05507218298556425)","(392, 0.09867735302924807)","(198, 0.10367887000708051)","(126, 0.10091589671231517)","(384, 0.08721108058881319)"
"(647, 0.10946942942528029)","(662, 0.11178603794767838)","(310, 0.10679880153597147)","(144, 0.10720923394473461)","(670, 0.05690006698050205)","(129, 0.05507132560110608)","(445, 0.0986258564244097)","(442, 0.10364033472584087)","(673, 0.10087098168838965)","(10, 0.0867420780823043)"
"(54, 0.10937575421579)","(16, 0.1115289414258314)","(552, 0.10653388112966672)","(180, 0.1071096357817259)","(593, 0.05688920760923252)","(645, 0.0550484933711499)","(402, 0.09850868811149889)","(642, 0.10353541434651789)","(590, 0.10070821938227445)","(393, 0.0867021317442052)"
"(540, 0.10936082000310904)","(634, 0.11127602463596009)","(217, 0.1064226789381951)","(173, 0.10688628819273366)","(231, 0.056418703107542885)","(215, 0.0550118210581825)","(209, 0.09828225427171015)","(89, 0.10316086072770891)","(174, 0.10056473280148767)","(573, 0.08654566029599618)"
"(137, 0.10934964888684565)","(587, 0.11125800322689774)","(161, 0.1063816057030103)","(96, 0.10627731297089096)","(644, 0.05599791041791027)","(290, 0.05498732242258387)","(612, 0.09817874371604958)","(174, 0.10310627266645331)","(104, 0.10053694570502068)","(576, 0.08634450046845712)"
"(564, 0.10933131063842494)","(601, 0.11122655680233526)","(114, 0.1063495084741035)","(465, 0.10623960737394501)","(230, 0.05575586997827572)","(30, 0.05481685679952387)","(39, 0.09795371001928455)","(71, 0.10234016520545243)","(587, 0.10045353138371223)","(76, 0.08623738049942109)"
"(7, 0.10930811773351988)","(138, 0.11118455266799823)","(678, 0.10609076830762769)","(588, 0.10619488269118968)","(165, 0.0557160133006824)","(157, 0.054807572559261324)","(618, 0.09792026948788674)","(16, 0.10231472622857418)","(655, 0.10033247781209935)","(207, 0.08608528786013395)"
"(543, 0.10923917946344897)","(127, 0.11105786024072839)","(329, 0.10605919383347352)","(444, 0.10610026083833145)","(170, 0.055590623696468514)","(594, 0.05467727004281821)","(157, 0.09785684306859924)","(36, 0.10217840538083356)","(599, 0.10024408612117813)","(153, 0.08603617395066684)"
"(542, 0.10900353128516123)","(116, 0.11072135129491181)","(550, 0.10585946929170967)","(132, 0.1060602100519867)","(656, 0.05552615759842056)","(473, 0.05465313520437188)","(398, 0.09780120993272567)","(607, 0.10212032556635346)","(661, 0.10012943014319454)","(75, 0.08603362621181687)"
"(558, 0.10882243292842254)","(13, 0.11031410629888999)","(599, 0.10551846012249931)","(531, 0.10600092456797983)","(655, 0.05497814550420642)","(51, 0.05445907407285831)","(675, 0.09738361909767544)","(576, 0.10210185115526256)","(472, 0.10001190279348549)","(412, 0.08563891587439643)"
"(384, 0.10866300769108742)","(389, 0.11026495540822823)","(590, 0.10550063506945151)","(440, 0.1059903879223322)","(649, 0.05496119858755072)","(667, 0.05431558853498829)","(652, 0.09736489355793963)","(588, 0.10199392847863815)","(40, 0.09986630736051832)","(590, 0.08554971006678272)"
"(157, 0.1085108667065688)","(112, 0.10967737106703622)","(422, 0.10508031632597875)","(636, 0.10593480486635573)","(65, 0.054855084882365825)","(53, 0.05426003247339794)","(137, 0.09734749220495997)","(460, 0.10193097014164132)","(390, 0.09979211770695182)","(636, 0.08536865970189916)"
