Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10
"(275, 0.14258666548345592)","(317, 0.1416030773051186)","(623, 0.13366156546920407)","(77, 0.1366946807377202)","(434, 0.09129511277966906)","(188, 0.06729407265537585)","(584, 0.1263311246582777)","(94, 0.134361138740935)","(551, 0.13060702776273936)","(117, 0.12476998170566969)"
"(324, 0.14256677821325572)","(626, 0.14146203427032356)","(401, 0.1336123017431963)","(131, 0.13643757490026484)","(595, 0.09084274391381247)","(630, 0.06727266529853985)","(508, 0.12609300365109172)","(64, 0.13424375076179795)","(309, 0.13060413899676587)","(155, 0.12475618140751032)"
"(8, 0.14246187984959827)","(5, 0.1408840218489263)","(184, 0.13341315180905652)","(435, 0.13643281853382905)","(14, 0.09044956047092184)","(504, 0.06681250639845993)","(27, 0.12581982668075947)","(185, 0.13419281582661824)","(465, 0.13050971855701504)","(192, 0.12457039701477501)"
"(95, 0.14222903839862316)","(632, 0.14079711069382342)","(165, 0.13328223465261982)","(498, 0.13602893275406058)","(558, 0.09040493022110557)","(47, 0.06667731074346143)","(70, 0.125773792470125)","(139, 0.13414819563359023)","(462, 0.13050291808781833)","(640, 0.12436372334634477)"
"(492, 0.14192957114380592)","(469, 0.14071292159185572)","(417, 0.13321338026566615)","(635, 0.13580697278151224)","(293, 0.09032574275527414)","(308, 0.06660543662114926)","(609, 0.12574267407324274)","(498, 0.1340652720572027)","(441, 0.13047974047956742)","(587, 0.12434510939801763)"
"(508, 0.14175578584213155)","(234, 0.1407110068038736)","(187, 0.13294293904623278)","(52, 0.1355536766090509)","(603, 0.08980777935729292)","(72, 0.06657270225663146)","(621, 0.1255130057158606)","(154, 0.13402472182477487)","(680, 0.13020202880584245)","(170, 0.12428835319085897)"
"(468, 0.14171480440996675)","(500, 0.14065926699496548)","(109, 0.13255689532104772)","(17, 0.13548970176482525)","(575, 0.08948674962529986)","(71, 0.06652563553549047)","(97, 0.12549132558522236)","(221, 0.13380749737241351)","(233, 0.13016542923532906)","(420, 0.12400435583208265)"
"(242, 0.141651871977706)","(631, 0.14055816038684005)","(29, 0.13254344500965867)","(476, 0.13518271931230166)","(155, 0.08935509178853103)","(133, 0.06652338500186139)","(435, 0.12546536237143846)","(47, 0.1337412987777018)","(187, 0.13008625713556227)","(305, 0.12385711945552708)"
"(97, 0.14156548784651626)","(477, 0.14025684597508906)","(7, 0.13253997594916872)","(190, 0.13514758105651803)","(240, 0.08894201854404299)","(595, 0.06648491662571844)","(413, 0.12518271101802908)","(307, 0.1331744754460322)","(577, 0.13007740171145635)","(508, 0.1237797441858697)"
"(507, 0.14147721254732393)","(466, 0.14013214218447062)","(309, 0.13253755677701726)","(13, 0.13494643696003397)","(43, 0.08871716574732282)","(2, 0.06642220796885082)","(482, 0.12509386766356098)","(219, 0.13317198324241075)","(28, 0.1300039757030483)","(635, 0.12326882303488747)"
"(191, 0.1413238207189308)","(606, 0.13965842761309266)","(652, 0.13249379201110928)","(305, 0.13483530721608214)","(468, 0.08854726957067058)","(637, 0.06639179652914387)","(605, 0.12499434893697618)","(5, 0.13314788160349902)","(569, 0.12973000743346674)","(547, 0.12317904910554148)"
"(502, 0.1411393732333788)","(193, 0.13953773435512218)","(626, 0.13248975924147138)","(139, 0.13468568429285366)","(555, 0.08829477137906455)","(400, 0.06635821657565148)","(425, 0.1249122430550397)","(399, 0.1326765326697984)","(331, 0.1296291816232149)","(661, 0.12288854729318419)"
"(237, 0.1411006483556924)","(598, 0.13953404715716142)","(406, 0.13240495768590602)","(215, 0.13460125307140688)","(591, 0.088268664612503)","(674, 0.06622400186643487)","(586, 0.12490514145566134)","(45, 0.1326631051440651)","(175, 0.1296237551351362)","(578, 0.1221487099002067)"
"(317, 0.14106344642453109)","(413, 0.139476951698523)","(547, 0.13226339212597876)","(466, 0.134288865205692)","(646, 0.08823542998382318)","(642, 0.06608780588399958)","(654, 0.12486313970958952)","(114, 0.13262267199909267)","(151, 0.1295979287912804)","(601, 0.12196382568764029)"
"(664, 0.1409309773582322)","(623, 0.13922921687521778)","(402, 0.13225360002752956)","(298, 0.13403450035235506)","(15, 0.0882308471744296)","(592, 0.06608384469710524)","(58, 0.12454702589189753)","(653, 0.13256026426081233)","(666, 0.12954442840031263)","(63, 0.12173275291385288)"
"(168, 0.14087914730698256)","(518, 0.1391478285217498)","(133, 0.13213254154232573)","(206, 0.13403369703037524)","(50, 0.08788428411394203)","(38, 0.06597219613186704)","(61, 0.12452715142838103)","(532, 0.13237500148033415)","(563, 0.12941779610793247)","(267, 0.12161399976899297)"
"(299, 0.14086966749342233)","(323, 0.1391298242670762)","(609, 0.13182491428980814)","(290, 0.13396037212659087)","(207, 0.08778935316443)","(121, 0.06591183080808771)","(227, 0.12449198402349834)","(134, 0.13234078802214275)","(635, 0.12931759653331495)","(43, 0.12151193809322693)"
"(66, 0.14059978222439218)","(169, 0.13912857085583255)","(680, 0.13173322479115745)","(390, 0.13386850254266147)","(647, 0.0877460223442155)","(147, 0.06590715244173256)","(477, 0.1243428263643769)","(457, 0.1323026560341652)","(63, 0.12929103537466205)","(293, 0.12148543713063004)"
"(501, 0.1403036164290753)","(577, 0.13894196068353692)","(45, 0.13170606156967407)","(185, 0.133804023283034)","(460, 0.08740270302597887)","(74, 0.06582436040097533)","(141, 0.1237337516266947)","(623, 0.13227310876362558)","(552, 0.1292589854931128)","(481, 0.1213431212651954)"
"(583, 0.14014506387569284)","(37, 0.13891467037303112)","(51, 0.13166981935236458)","(83, 0.1334572297816056)","(429, 0.08739340915406128)","(97, 0.06577432530605029)","(42, 0.12360325154396268)","(461, 0.1322318359338749)","(458, 0.12896935203619705)","(569, 0.12126304396832112)"
"(554, 0.1399118575426686)","(563, 0.1388992614253536)","(621, 0.13141811456593122)","(63, 0.133418079167405)","(677, 0.08716050659874142)","(531, 0.06574215663470384)","(72, 0.12356397158647171)","(660, 0.13201720556050578)","(641, 0.1288892646672769)","(18, 0.12099493335778647)"
"(651, 0.1395180319147556)","(633, 0.1388182894700514)","(507, 0.13139617452744495)","(468, 0.13333604011120054)","(217, 0.08706068505054934)","(530, 0.06572218040166504)","(125, 0.12354228434481813)","(306, 0.13199874275758391)","(244, 0.12872196685644935)","(165, 0.12069518625940562)"
"(162, 0.13951795603407155)","(651, 0.13875603636400075)","(505, 0.13133556136302216)","(129, 0.13333096277806028)","(592, 0.08704239077921115)","(111, 0.06569590003718674)","(143, 0.12348907609957918)","(330, 0.13197476610824893)","(133, 0.12871754032130878)","(461, 0.12065662443404214)"
"(429, 0.13923721217266635)","(80, 0.13859681593070916)","(124, 0.13130191161316657)","(299, 0.13331456099594005)","(554, 0.08695173388347875)","(604, 0.06568777250428148)","(169, 0.1230677815371664)","(466, 0.1318185097906718)","(45, 0.12869058520263385)","(401, 0.12048997008420483)"
"(30, 0.13891205816952498)","(139, 0.1385683652862998)","(97, 0.13110442812589312)","(469, 0.13325192457058355)","(215, 0.08682924165388754)","(389, 0.06564427293958895)","(391, 0.12288868330967541)","(2, 0.13159849087944872)","(87, 0.12865501694045342)","(492, 0.11989430284096209)"
"(115, 0.13875328004315254)","(51, 0.1382754475111523)","(446, 0.13089865273783605)","(653, 0.1331740368745596)","(614, 0.08657236704810185)","(631, 0.06561215785468572)","(433, 0.12267655509368336)","(519, 0.13159716182276665)","(654, 0.12846227339648758)","(622, 0.11977427222921222)"
"(87, 0.13842020623330015)","(94, 0.13823787949024433)","(188, 0.13082019251993435)","(568, 0.13270994559118293)","(176, 0.08637756843932093)","(325, 0.06550941850580481)","(424, 0.12243838231068464)","(586, 0.13149877500482093)","(3, 0.12826598266502326)","(667, 0.11976067603074862)"
"(439, 0.13837524545990695)","(664, 0.13818711841861647)","(663, 0.13072261689210077)","(220, 0.1324848654094643)","(292, 0.08637702983503943)","(632, 0.06548424294209083)","(62, 0.12243149282746847)","(406, 0.1314513361162565)","(140, 0.12826560252904157)","(175, 0.1197014384130254)"
"(412, 0.13830853661965825)","(132, 0.13796790433906408)","(535, 0.1306906713253226)","(53, 0.1324194373275763)","(299, 0.08632546467346897)","(130, 0.0654282757784534)","(159, 0.12240619643424275)","(147, 0.1314262084515787)","(188, 0.1282395850129351)","(677, 0.11969585453455955)"
"(291, 0.13826696945858558)","(435, 0.1378186977193353)","(16, 0.13056099210547945)","(441, 0.1323527728484446)","(679, 0.08617224685652874)","(476, 0.06541926619596639)","(555, 0.12236148982582871)","(331, 0.13139322550373825)","(299, 0.1281434751096966)","(426, 0.11964948707542375)"
"(62, 0.13824758527097036)","(275, 0.1377353952950502)","(61, 0.13052173865662556)","(537, 0.13227237548528287)","(613, 0.08599597520971639)","(502, 0.06520420840833763)","(569, 0.12214771067172757)","(456, 0.1311834361264572)","(109, 0.12814203646423705)","(85, 0.11964116228260106)"
"(44, 0.13819896241658014)","(478, 0.13764657820184972)","(518, 0.13030763765590395)","(81, 0.132150485143336)","(275, 0.08570963362086742)","(80, 0.06520137265362856)","(608, 0.12205619045547238)","(72, 0.13113261935459766)","(41, 0.12803234488259765)","(134, 0.11951910240108479)"
"(535, 0.13817967435536316)","(532, 0.1375294368556161)","(460, 0.13004611491087864)","(458, 0.13170079741116228)","(23, 0.08553810704027821)","(423, 0.06516600967563804)","(434, 0.12198701366854622)","(563, 0.13094430076797373)","(170, 0.12802622762891297)","(208, 0.1194121513140156)"
"(83, 0.13813212298526656)","(149, 0.13738370454591414)","(397, 0.12989379194356288)","(7, 0.13165748109425177)","(479, 0.0853453755048361)","(318, 0.06512855788207825)","(147, 0.12168586549134795)","(427, 0.13079703722701227)","(51, 0.1280002860211005)","(15, 0.1190948031397273)"
"(461, 0.13726295798814417)","(148, 0.1372397931967925)","(242, 0.12985080064632187)","(184, 0.13125987664172598)","(74, 0.08529505778053081)","(89, 0.06509528165050014)","(648, 0.121540210879303)","(556, 0.13079085634302795)","(413, 0.12797056420540298)","(253, 0.11892673301995645)"
"(22, 0.13713608882953435)","(653, 0.13717120108361477)","(141, 0.12982797057463047)","(413, 0.13123252640978705)","(162, 0.08522211756238651)","(6, 0.06501854317792514)","(164, 0.1214504837219115)","(502, 0.13035656708514087)","(561, 0.12784714670010297)","(610, 0.11891839689537505)"
"(536, 0.13707180599006488)","(88, 0.1371418741723215)","(605, 0.12977134099897944)","(189, 0.131207239824477)","(637, 0.08509817523942839)","(166, 0.06491694597865781)","(256, 0.12132359481366004)","(85, 0.1303233883332689)","(469, 0.1276905339875098)","(574, 0.11880510308010035)"
"(27, 0.13690405488272128)","(145, 0.13701762098428208)","(39, 0.12949618530228355)","(29, 0.13119518841841765)","(413, 0.08501888611600739)","(170, 0.06486165666720067)","(145, 0.12123790884361717)","(654, 0.13028653010319288)","(392, 0.1276724853158462)","(626, 0.11848329535317684)"
"(45, 0.13686668160082757)","(507, 0.13699434890533244)","(470, 0.1293912890489688)","(547, 0.13101395067142402)","(467, 0.08501242902786495)","(70, 0.06486039989873243)","(637, 0.12122223068192471)","(635, 0.13005226321959742)","(463, 0.12748892136761436)","(657, 0.11797807350932361)"
"(159, 0.13680027875942638)","(221, 0.1369580656026117)","(536, 0.12936384076192742)","(456, 0.1309652246878917)","(660, 0.08496887925710986)","(501, 0.06477077022077513)","(94, 0.12121752762916166)","(501, 0.12978116120803082)","(448, 0.12748039060046734)","(22, 0.11795262859007387)"
"(170, 0.13679672122156986)","(511, 0.13681562574463782)","(191, 0.1293221146951898)","(638, 0.1309486258483365)","(604, 0.08485821426218026)","(524, 0.06474287561129344)","(559, 0.12108446808397268)","(468, 0.1296590480675531)","(629, 0.1274104274720633)","(645, 0.11755260279743227)"
"(456, 0.13666212523480384)","(72, 0.13670587982444768)","(71, 0.12926326155499973)","(519, 0.13072973839663052)","(181, 0.08483121629780982)","(591, 0.06463275312968692)","(421, 0.12096928072801019)","(27, 0.12957160727633663)","(165, 0.12717438190498997)","(464, 0.11731220086293266)"
"(657, 0.13644247891920502)","(468, 0.13667021027229218)","(196, 0.12925675089544048)","(590, 0.13058208775777722)","(302, 0.08480744141792654)","(193, 0.0645069997335994)","(88, 0.12081894754561052)","(605, 0.12952955408548975)","(168, 0.12711793006761224)","(184, 0.1167620520339239)"
"(595, 0.13629401653169482)","(147, 0.13652531125767361)","(70, 0.1288844676399518)","(27, 0.13045401070413098)","(305, 0.08480397316919248)","(608, 0.06446281091731906)","(80, 0.12074058833825689)","(564, 0.12950634933239175)","(556, 0.12700305700277142)","(575, 0.11670745385812754)"
"(181, 0.1359202367413843)","(406, 0.13650241301307542)","(489, 0.12882707104893287)","(667, 0.13040627292513285)","(159, 0.08476031802134527)","(523, 0.06439777146395627)","(429, 0.12060709314963954)","(428, 0.12948687518531887)","(71, 0.12695061334529703)","(489, 0.11661644988890689)"
"(143, 0.13565202452573888)","(66, 0.13647003288705503)","(661, 0.12875640935890342)","(467, 0.13034746910699932)","(597, 0.08473857045343176)","(493, 0.06431726905879671)","(561, 0.12053193209538636)","(529, 0.12892296741414433)","(427, 0.1268024869102565)","(627, 0.11650581800599487)"
"(389, 0.13522209679539837)","(180, 0.136430775805926)","(127, 0.12868303609891132)","(122, 0.1303347300471465)","(294, 0.08473068416244528)","(197, 0.06431243551093734)","(615, 0.12035104133699594)","(444, 0.1288966136924721)","(330, 0.12664214517974937)","(639, 0.11626842574631496)"
"(624, 0.1348667026248611)","(328, 0.13642828660702114)","(126, 0.1286779039153625)","(680, 0.13020203830821442)","(680, 0.08459223993148803)","(494, 0.06422118908022792)","(554, 0.1203164113445605)","(243, 0.12867739485090032)","(391, 0.1264421794266656)","(256, 0.11620486559669975)"
"(207, 0.13483972400827426)","(6, 0.13633887049318494)","(143, 0.12866195062462144)","(187, 0.13008626929355815)","(565, 0.0844045552928081)","(582, 0.06420882011563876)","(590, 0.12000681511523376)","(309, 0.12860765882536332)","(473, 0.1263805333183479)","(628, 0.11612531000838744)"
