Topic-1,Topic-2,Topic-3,Topic-4,Topic-5
"(460, 0.042025658862132595)","(559, 0.0)","(523, 0.02319346804426947)","(424, 0.03016714431429296)","(178, 0.05090233434233737)"
"(250, 0.041840574933487334)","(560, 0.0)","(385, 0.02305751792784213)","(34, 0.03013534291783064)","(230, 0.05080646259565346)"
"(252, 0.041717226115163465)","(561, 0.0)","(144, 0.023041820247912768)","(221, 0.029971902325601152)","(306, 0.050796598037241854)"
"(251, 0.04167380007027297)","(562, 0.0)","(153, 0.023000215238645753)","(325, 0.029822480054960906)","(305, 0.050735239060963715)"
"(222, 0.04150278115903284)","(563, 0.0)","(208, 0.022850825901127955)","(114, 0.0297817589294747)","(263, 0.05069879807392543)"
"(312, 0.041398348804783866)","(564, 0.0)","(548, 0.02277381203955293)","(387, 0.029666119245676054)","(218, 0.05052774390431411)"
"(471, 0.041066868090164604)","(565, 0.0)","(230, 0.022683913892227292)","(37, 0.02956556439931075)","(582, 0.05050786009001534)"
"(85, 0.04104146914551057)","(568, 0.0)","(579, 0.022630162095730193)","(326, 0.02949616717731204)","(532, 0.0504143606510124)"
"(202, 0.041015112478069736)","(569, 0.0)","(616, 0.022628493499674638)","(524, 0.029165405255773727)","(187, 0.05025252989273838)"
"(15, 0.04091357803925721)","(57, 0.0)","(386, 0.022571226875803173)","(206, 0.028960747239941676)","(127, 0.050164930807524745)"
"(50, 0.040704593422934185)","(571, 0.0)","(412, 0.02243888121532762)","(38, 0.02895500861747085)","(197, 0.05009363673794323)"
"(501, 0.040637672077482256)","(572, 0.0)","(610, 0.022384953096685)","(331, 0.02890179493986371)","(217, 0.04998896617078567)"
"(470, 0.04061160802535524)","(573, 0.0)","(200, 0.022148754414457388)","(528, 0.028864557526668257)","(510, 0.049839291581304866)"
"(45, 0.04049324076796578)","(574, 0.0)","(391, 0.021836455340951827)","(615, 0.028615595272050952)","(193, 0.04979436970171611)"
"(452, 0.04030446442947215)","(575, 0.0)","(424, 0.021690311039216897)","(330, 0.028492568186599246)","(469, 0.04961899946891598)"
"(51, 0.04010658013111222)","(576, 0.0)","(660, 0.02166529580804356)","(296, 0.02840729239989675)","(167, 0.04945889806261092)"
"(469, 0.04002862687690601)","(577, 0.0)","(294, 0.02143373609334216)","(400, 0.02839804113775901)","(88, 0.04908086146043425)"
"(146, 0.039933370352574125)","(578, 0.0)","(322, 0.021402799114518187)","(219, 0.02826253027161008)","(11, 0.049015687213377866)"
"(47, 0.03896557717026877)","(579, 0.0)","(295, 0.02136156794635522)","(383, 0.02808974018825597)","(147, 0.048916629519324906)"
"(466, 0.03887452201945341)","(58, 0.0)","(66, 0.02136014693733313)","(628, 0.02792493336398966)","(176, 0.04885074262282669)"
"(168, 0.038562029171491895)","(580, 0.0)","(476, 0.021294491802780185)","(253, 0.027875249141719717)","(175, 0.04880384482240592)"
"(510, 0.03825588379576684)","(581, 0.0)","(628, 0.02127126598168023)","(392, 0.027756371997220242)","(626, 0.04865594596694682)"
"(88, 0.03779315304475081)","(582, 0.0)","(401, 0.021198762611299375)","(35, 0.027621376091116253)","(645, 0.04862954124143718)"
"(207, 0.03779240751510998)","(583, 0.0)","(475, 0.021190443904762025)","(189, 0.02723866148945132)","(620, 0.048623285789864766)"
"(215, 0.03753721841268632)","(584, 0.0)","(398, 0.021044883178556375)","(231, 0.027104333715945478)","(110, 0.048483399272870834)"
"(490, 0.037477887414654)","(585, 0.0)","(399, 0.02099191363291058)","(477, 0.026976373019005365)","(148, 0.048329857450223154)"
"(139, 0.037427123985795396)","(586, 0.0)","(4, 0.020820066191836368)","(616, 0.026842367121917326)","(168, 0.04806279427111569)"
"(208, 0.03671776778510218)","(587, 0.0)","(414, 0.020807962802940828)","(406, 0.02683847514798757)","(216, 0.04801635780767519)"
"(268, 0.036456710392015146)","(588, 0.0)","(542, 0.020652272717989684)","(292, 0.026800203242147273)","(126, 0.04749814538390911)"
"(27, 0.03642665767670938)","(589, 0.0)","(218, 0.020634592260718766)","(291, 0.02675655019995336)","(203, 0.04716918358512656)"
"(209, 0.03641688861409254)","(59, 0.0)","(326, 0.020610983620225325)","(62, 0.02647171542089281)","(73, 0.047147022224037265)"
"(183, 0.03634748488866062)","(590, 0.0)","(217, 0.020608482067728272)","(183, 0.0262714409588045)","(486, 0.04709543247917043)"
"(17, 0.03630704016862579)","(591, 0.0)","(482, 0.020576466249571976)","(629, 0.026211592745919447)","(132, 0.04700240917567869)"
"(164, 0.035931033469554896)","(592, 0.0)","(215, 0.020464420469762483)","(40, 0.026124440276425877)","(656, 0.046943868226866484)"
"(270, 0.03590749792958077)","(593, 0.0)","(317, 0.020389889653139096)","(398, 0.02596470026890236)","(134, 0.046920128439320155)"
"(506, 0.03586322577578559)","(594, 0.0)","(395, 0.02029481012541314)","(579, 0.025927196092428464)","(485, 0.046727071781548904)"
"(221, 0.03571055700534068)","(595, 0.0)","(544, 0.020144155201659856)","(399, 0.02591937770131701)","(113, 0.04655252134427784)"
"(509, 0.03508669798042197)","(596, 0.0)","(545, 0.020059333921050693)","(4, 0.025802306541668252)","(466, 0.04648171113643264)"
"(313, 0.03508427997990135)","(597, 0.0)","(473, 0.019843803382779416)","(142, 0.0257743836179237)","(317, 0.04643450758378926)"
"(468, 0.03501430098910107)","(598, 0.0)","(629, 0.019667574353920334)","(410, 0.025630617184360112)","(220, 0.04639299256530728)"
"(192, 0.03467075071944972)","(599, 0.0)","(48, 0.01959874268099849)","(218, 0.025601210873154045)","(472, 0.04636891048860307)"
"(463, 0.034614991575746164)","(6, 0.0)","(72, 0.019568001299879643)","(414, 0.0255620144498472)","(146, 0.04630112640609403)"
"(467, 0.03456623666376946)","(60, 0.0)","(481, 0.019537836302452958)","(582, 0.02555110697313858)","(179, 0.04590171616108061)"
"(2, 0.034481163902289176)","(600, 0.0)","(201, 0.019301509507136466)","(395, 0.025509445597948988)","(157, 0.045829825962063246)"
"(136, 0.033624800031065924)","(601, 0.0)","(327, 0.01905523078540402)","(391, 0.02546423908662242)","(102, 0.04541320451609109)"
"(145, 0.03357709301261016)","(603, 0.0)","(474, 0.018925235735046564)","(327, 0.0254297488962823)","(1, 0.045277921155206596)"
"(135, 0.033542993654686076)","(604, 0.0)","(122, 0.018851688312322708)","(217, 0.025299811286767344)","(45, 0.04523110654524775)"
"(226, 0.03336680161343098)","(605, 0.0)","(212, 0.018463487918234364)","(201, 0.02518474566894105)","(452, 0.04522744096450028)"
"(503, 0.03098842456616882)","(606, 0.0)","(477, 0.01839184932648189)","(393, 0.025156920840973984)","(470, 0.04520830260155604)"
"(302, 0.03098037393279811)","(607, 0.0)","(40, 0.018161719447851516)","(394, 0.02509884590665186)","(109, 0.04501415081555837)"
"(142, 0.030791921027594735)","(608, 0.0)","(478, 0.018127864730912612)","(323, 0.025023537651447065)","(201, 0.0449144793518647)"
"(49, 0.030452054071312556)","(609, 0.0)","(555, 0.01712309613899833)","(173, 0.024306823168501062)","(141, 0.04491295178852824)"
"(203, 0.030339265081219133)","(61, 0.0)","(22, 0.017086063255152183)","(402, 0.024264112924601466)","(28, 0.04489203779869953)"
"(511, 0.029928206524494877)","(610, 0.0)","(321, 0.016973109720614204)","(401, 0.023636230728979003)","(121, 0.04478680957646451)"
"(206, 0.029571371693485043)","(611, 0.0)","(485, 0.016793454086632895)","(321, 0.023608445178050594)","(465, 0.044778575782435985)"
"(508, 0.029509888387645823)","(612, 0.0)","(329, 0.016573709052727995)","(193, 0.02342798664167756)","(52, 0.0447639317655822)"
"(9, 0.028781239656589675)","(613, 0.0)","(196, 0.015781455949099323)","(194, 0.023317361173604452)","(303, 0.04471879573590651)"
"(195, 0.0287498185791846)","(614, 0.0)","(197, 0.012184168430174202)","(55, 0.02329560864775723)","(151, 0.044704867873015613)"
"(505, 0.02763522855911068)","(615, 0.0)","(319, 0.010858419788185945)","(197, 0.023273866641428883)","(456, 0.04467471021694429)"
"(140, 0.027521410714347546)","(616, 0.0)","(198, 0.009611737544008797)","(175, 0.02316394281383155)","(459, 0.04467377694093222)"
"(500, 0.027391203968400155)","(617, 0.0)","(104, 0.0030536858145136336)","(230, 0.023157146442548043)","(624, 0.044553065835124736)"
"(229, 0.02675218015193658)","(618, 0.0)","(98, 0.0)","(216, 0.02304407468948851)","(117, 0.04451171566225088)"
"(48, 0.026568224104887274)","(619, 0.0)","(1, 0.0)","(203, 0.022896647048593333)","(198, 0.04414288073028122)"
"(473, 0.025840888442784933)","(62, 0.0)","(10, 0.0)","(136, 0.022879311988448378)","(19, 0.04366712514223886)"
"(110, 0.025832639839834717)","(620, 0.0)","(100, 0.0)","(384, 0.022785650378966966)","(468, 0.04350329085861931)"
"(11, 0.02580615038914458)","(621, 0.0)","(101, 0.0)","(412, 0.022601202341925856)","(474, 0.04346487502928255)"
"(150, 0.025567478320198334)","(622, 0.0)","(102, 0.0)","(168, 0.022547217339255504)","(199, 0.04345856788417802)"
"(100, 0.025271324816201007)","(623, 0.0)","(103, 0.0)","(332, 0.022483254531316117)","(444, 0.043140694712401714)"
"(218, 0.025075590844283343)","(624, 0.0)","(116, 0.0)","(422, 0.022419158428164533)","(107, 0.04311404685386029)"
"(479, 0.025006727306477898)","(625, 0.0)","(117, 0.0)","(212, 0.02206486830085375)","(182, 0.042941285589434025)"
"(197, 0.024971655600214325)","(626, 0.0)","(120, 0.0)","(151, 0.021810470304654127)","(660, 0.04288744039622359)"
"(474, 0.024923786046936236)","(627, 0.0)","(121, 0.0)","(199, 0.02170910081657408)","(66, 0.04268211605508593)"
"(504, 0.024829285202674127)","(628, 0.0)","(125, 0.0)","(28, 0.021600236523199087)","(229, 0.04264917219759443)"
"(499, 0.02466402877596848)","(629, 0.0)","(126, 0.0)","(385, 0.021549024424753583)","(460, 0.042614643039884346)"
"(137, 0.02463487046635435)","(63, 0.0)","(127, 0.0)","(536, 0.021358245830427645)","(46, 0.04250162932225516)"
"(165, 0.02453381052122008)","(630, 0.0)","(132, 0.0)","(191, 0.021320428758990016)","(267, 0.0422901264546403)"
"(493, 0.024464359424721208)","(631, 0.0)","(133, 0.0)","(146, 0.02126541440338417)","(137, 0.04197584446640716)"
"(494, 0.024291535859860398)","(632, 0.0)","(134, 0.0)","(263, 0.020945208237631116)","(635, 0.041649546561629475)"
"(486, 0.024257148282544196)","(633, 0.0)","(136, 0.0)","(386, 0.02084814369168178)","(84, 0.0416284805849574)"
"(475, 0.02424217307210705)","(634, 0.0)","(137, 0.0)","(23, 0.020781318997913672)","(663, 0.041581101876887794)"
"(495, 0.024238117962191434)","(635, 0.0)","(138, 0.0)","(98, 0.020728184798119303)","(212, 0.041534388672914764)"
"(482, 0.0241721521675194)","(636, 0.0)","(141, 0.0)","(329, 0.020550885888610242)","(517, 0.04153287210271032)"
"(148, 0.02413125748342012)","(637, 0.0)","(142, 0.0)","(20, 0.02035577599133134)","(312, 0.04147720033902373)"
"(141, 0.023749287645176004)","(638, 0.0)","(146, 0.0)","(185, 0.02018461417348636)","(10, 0.04144262412942644)"
"(478, 0.023731398097029396)","(639, 0.0)","(149, 0.0)","(621, 0.020058277542810334)","(301, 0.04102841989338107)"
"(476, 0.02365573042440255)","(64, 0.0)","(150, 0.0)","(157, 0.020030748530694132)","(163, 0.04084321695830326)"
"(491, 0.023360755575035485)","(640, 0.0)","(151, 0.0)","(177, 0.019639056627775608)","(58, 0.040533843533406645)"
"(492, 0.023143865589308178)","(641, 0.0)","(157, 0.0)","(301, 0.01952604468535824)","(237, 0.04022197047225205)"
"(481, 0.02290367945437774)","(642, 0.0)","(16, 0.0)","(417, 0.019363242647934847)","(145, 0.04020271177934325)"
"(94, 0.02270408538604762)","(643, 0.0)","(162, 0.0)","(418, 0.019197598497187537)","(476, 0.04017819462590805)"
"(109, 0.022536892777355377)","(644, 0.0)","(163, 0.0)","(620, 0.019049740079792103)","(180, 0.040051053870400116)"
"(472, 0.02253604547006518)","(645, 0.0)","(168, 0.0)","(137, 0.019046042588145497)","(116, 0.0399686573044025)"
"(117, 0.02241651023984582)","(646, 0.0)","(170, 0.0)","(16, 0.018883091173270628)","(443, 0.03987913626749467)"
"(201, 0.022309350592654535)","(647, 0.0)","(173, 0.0)","(187, 0.018819582589601706)","(447, 0.039719468537453326)"
"(102, 0.02230340587069126)","(648, 0.0)","(174, 0.0)","(318, 0.018663745066452908)","(446, 0.03966115495217359)"
"(185, 0.021788473172256403)","(649, 0.0)","(175, 0.0)","(623, 0.018539154745226268)","(475, 0.03962989671297289)"
"(16, 0.021779878291059655)","(65, 0.0)","(176, 0.0)","(267, 0.018502887802118322)","(2, 0.03960700574231969)"
"(480, 0.019846332961377142)","(650, 0.0)","(177, 0.0)","(636, 0.018371925141619925)","(445, 0.03959387268796303)"
"(25, 0.019614339834441302)","(651, 0.0)","(178, 0.0)","(245, 0.01835193257078221)","(103, 0.0393752838370921)"
"(174, 0.019224179700281546)","(652, 0.0)","(179, 0.0)","(103, 0.01825025718001595)","(138, 0.03937026100494376)"
"(24, 0.01865206633823084)","(653, 0.0)","(180, 0.0)","(319, 0.018215866218540887)","(670, 0.03907322441769635)"
"(13, 0.01863998209339388)","(654, 0.0)","(182, 0.0)","(182, 0.01814753583069534)","(170, 0.03890338213664083)"
"(187, 0.01859152147454456)","(655, 0.0)","(185, 0.0)","(247, 0.01804129747280432)","(245, 0.03839483687636749)"
"(108, 0.01777061672637355)","(656, 0.0)","(216, 0.0)","(198, 0.018028191522865045)","(130, 0.037926566418060685)"
"(101, 0.01775691417351963)","(657, 0.0)","(224, 0.0)","(149, 0.017788863178541735)","(67, 0.0377981107831639)"
"(107, 0.017353364656800783)","(66, 0.0)","(229, 0.0)","(554, 0.017594714063371347)","(227, 0.03760272723561574)"
"(23, 0.0173086560018928)","(660, 0.0)","(23, 0.0)","(220, 0.017480781998337715)","(143, 0.03738224010148113)"
"(224, 0.017268011637214514)","(661, 0.0)","(231, 0.0)","(522, 0.017354845014022128)","(47, 0.037242714089234755)"
"(78, 0.017002255169007694)","(662, 0.0)","(237, 0.0)","(178, 0.017208641471857498)","(480, 0.03718098123976124)"
"(220, 0.01693894854931524)","(663, 0.0)","(24, 0.0)","(41, 0.017205544086125762)","(302, 0.037143030850222976)"
"(77, 0.016146638334852227)","(664, 0.0)","(245, 0.0)","(229, 0.017081622140529867)","(651, 0.03690290847620026)"
"(180, 0.01592977380316624)","(665, 0.0)","(247, 0.0)","(618, 0.016580388493200187)","(482, 0.036708539591033665)"
"(267, 0.01570601082233536)","(666, 0.0)","(25, 0.0)","(313, 0.016564360498396154)","(135, 0.03661805129655666)"
"(247, 0.015693076923366783)","(667, 0.0)","(263, 0.0)","(195, 0.01645805420938995)","(471, 0.03652846032129308)"
"(20, 0.015328225549584745)","(668, 0.0)","(267, 0.0)","(180, 0.016323038976559096)","(580, 0.03603624165777617)"
"(200, 0.015204417782360544)","(669, 0.0)","(28, 0.0)","(141, 0.016257744860783165)","(473, 0.03595832366698525)"
"(228, 0.014597223255941906)","(676, 0.0)","(301, 0.0)","(423, 0.01593055884063504)","(479, 0.035939194017075606)"
"(216, 0.014582341297191584)","(678, 0.0)","(302, 0.0)","(228, 0.01577049132772719)","(25, 0.03589850401072569)"
"(95, 0.014095358577210925)","(679, 0.0)","(303, 0.0)","(170, 0.015554137054660534)","(8, 0.03547585188763844)"
"(298, 0.013960105220596108)","(68, 0.0)","(312, 0.0)","(162, 0.014706589577327763)","(32, 0.03542019265894101)"
"(114, 0.013774935863652131)","(77, 0.0)","(313, 0.0)","(2, 0.014584007020266208)","(313, 0.03523637501501279)"
"(111, 0.01273923355321644)","(78, 0.0)","(318, 0.0)","(104, 0.01453710553099852)","(48, 0.034978862011237295)"
"(196, 0.01227033708284192)","(79, 0.0)","(32, 0.0)","(179, 0.014418879746141594)","(618, 0.034737679249438304)"
"(115, 0.011727044994921554)","(8, 0.0)","(39, 0.0)","(200, 0.014189801842706776)","(481, 0.03469968023719786)"
"(79, 0.011074936979993288)","(80, 0.0)","(390, 0.0)","(176, 0.013928701216711314)","(478, 0.03434538702853251)"
"(89, 0.010660170891890187)","(81, 0.0)","(41, 0.0)","(224, 0.013744121782840497)","(111, 0.034104292032981334)"
"(199, 0.010331773949370342)","(83, 0.0)","(416, 0.0)","(416, 0.013596626860266438)","(101, 0.03357108291200887)"
"(112, 0.009086217589359706)","(84, 0.0)","(417, 0.0)","(32, 0.013324687102633313)","(200, 0.03309341118505886)"
"(198, 0.007166994069779533)","(85, 0.0)","(418, 0.0)","(237, 0.013145741947693574)","(162, 0.0329874872062838)"
"(477, 0.0)","(86, 0.0)","(422, 0.0)","(39, 0.013107151647274575)","(120, 0.03285489834776168)"
"(485, 0.0)","(87, 0.0)","(423, 0.0)","(24, 0.012985984676113803)","(24, 0.03278702249126931)"
"(487, 0.0)","(88, 0.0)","(522, 0.0)","(100, 0.012971254496177378)","(319, 0.031905595605599774)"
"(488, 0.0)","(89, 0.0)","(536, 0.0)","(390, 0.012460840213350078)","(463, 0.03189427403103762)"
"(489, 0.0)","(9, 0.0)","(55, 0.0)","(138, 0.012251286088347595)","(458, 0.03153229195669633)"
"(496, 0.0)","(90, 0.0)","(554, 0.0)","(196, 0.012229375043582654)","(100, 0.031128100704833517)"
"(497, 0.0)","(92, 0.0)","(618, 0.0)","(102, 0.01216832930114918)","(104, 0.03002939626146882)"
"(498, 0.0)","(93, 0.0)","(62, 0.0)","(163, 0.01183794385022887)","(196, 0.02784585606827604)"
"(5, 0.0)","(94, 0.0)","(620, 0.0)","(227, 0.011095929462196905)","(98, 0.027393887223168593)"
"(502, 0.0)","(95, 0.0)","(621, 0.0)","(25, 0.010842878954936293)","(195, 0.026691282962466874)"
"(507, 0.0)","(96, 0.0)","(623, 0.0)","(19, 0.010830898401769984)","(105, 0.023041086520390015)"
"(517, 0.0)","(97, 0.0)","(636, 0.0)","(101, 0.0019106463742592894)","(477, 0.022077930546240545)"
