Topic-1,Topic-2,Topic-3,Topic-4,Topic-5
"(33, 0.13024419927914208)","(517, 0.025355964520858504)","(74, 0.05710873974655338)","(54, 0.08063830280157627)","(68, 0.08316385473887287)"
"(44, 0.13002760092653806)","(73, 0.025270698034728097)","(504, 0.05694115490839079)","(561, 0.0806208603358074)","(592, 0.08307698796668858)"
"(428, 0.1299701170941281)","(147, 0.025230449877191002)","(530, 0.05690870373508767)","(543, 0.08059205062434548)","(528, 0.08305303231303103)"
"(565, 0.1298569122169846)","(113, 0.024744325922363718)","(130, 0.05685279103314836)","(573, 0.080469658469472)","(35, 0.08296638957649577)"
"(603, 0.12959052604312798)","(486, 0.024461169639571522)","(221, 0.056809013567402866)","(44, 0.08040159225402774)","(606, 0.08286264010742853)"
"(67, 0.12936155626732657)","(204, 0.0243699457861934)","(519, 0.05676716808833885)","(571, 0.08031796136145687)","(63, 0.08273191019725504)"
"(547, 0.12932724829138)","(195, 0.024276236829266058)","(464, 0.05676296041097127)","(508, 0.07942036693962835)","(322, 0.08271585671777848)"
"(604, 0.12844685756289018)","(505, 0.024207448754593405)","(202, 0.05659173888903063)","(547, 0.07896084733123554)","(407, 0.08271121731310123)"
"(591, 0.12758696467098415)","(71, 0.02400890358220254)","(491, 0.056497213346101506)","(678, 0.07795132214322166)","(544, 0.08255101890115821)"
"(631, 0.12736076139367355)","(139, 0.023965602828874985)","(75, 0.05618343531302018)","(440, 0.07783993969878206)","(607, 0.08252589019661973)"
"(608, 0.1273503077729241)","(494, 0.02387512761386746)","(637, 0.05616172854755242)","(43, 0.07763210550922223)","(80, 0.08241300434325734)"
"(398, 0.12725807693152744)","(495, 0.023848892444625652)","(68, 0.05613911481574282)","(677, 0.07754535115488839)","(438, 0.08238767593630927)"
"(399, 0.12671073433031224)","(144, 0.023574098933230935)","(427, 0.05611344691555628)","(299, 0.0771131464720585)","(424, 0.08238719919976073)"
"(554, 0.1265478979068542)","(70, 0.023443813549279973)","(562, 0.0560969871358155)","(597, 0.07655754662599709)","(545, 0.08235876665027188)"
"(670, 0.12650134204760774)","(200, 0.023013489204183286)","(511, 0.055975951841983625)","(671, 0.07655277685880418)","(632, 0.08231805485855236)"
